#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54402451,P153DRAFT_127296,P153DRAFT_127296,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402452,P153DRAFT_127388,P153DRAFT_127388,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402453,P153DRAFT_127514,P153DRAFT_127514,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402454,P153DRAFT_127525,P153DRAFT_127525,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402455,P153DRAFT_127526,P153DRAFT_127526,-,-,Unknown,-,ARM repeat-containing protein,protein-coding,-,-,-,ARM repeat-containing protein,20210320,-
1392245,54402456,P153DRAFT_128193,P153DRAFT_128193,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402457,P153DRAFT_128196,P153DRAFT_128196,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402458,P153DRAFT_128208,P153DRAFT_128208,-,-,Unknown,-,Cas1p-domain-containing protein,protein-coding,-,-,-,Cas1p-domain-containing protein,20210320,-
1392245,54402459,P153DRAFT_128465,P153DRAFT_128465,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402460,P153DRAFT_128496,P153DRAFT_128496,-,-,Unknown,-,epoxide hydrolase 1,protein-coding,-,-,-,epoxide hydrolase 1,20210320,-
1392245,54402461,P153DRAFT_128593,P153DRAFT_128593,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402462,P153DRAFT_128780,P153DRAFT_128780,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402463,P153DRAFT_128879,P153DRAFT_128879,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402464,P153DRAFT_129,P153DRAFT_129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402465,P153DRAFT_129129,P153DRAFT_129129,-,-,Unknown,-,3-isopropylmalate dehydrogenase,protein-coding,-,-,-,3-isopropylmalate dehydrogenase,20210320,-
1392245,54402466,P153DRAFT_129538,P153DRAFT_129538,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402467,P153DRAFT_129637,P153DRAFT_129637,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402468,P153DRAFT_129704,P153DRAFT_129704,-,-,Unknown,-,U6 snRNA-associated Sm-like protein LSm7,protein-coding,-,-,-,U6 snRNA-associated Sm-like protein LSm7,20210320,-
1392245,54402469,P153DRAFT_129761,P153DRAFT_129761,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54402470,P153DRAFT_130047,P153DRAFT_130047,-,-,Unknown,-,phosphatases II,protein-coding,-,-,-,phosphatases II,20210320,-
1392245,54402471,P153DRAFT_130305,P153DRAFT_130305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402472,P153DRAFT_130438,P153DRAFT_130438,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402473,P153DRAFT_130597,P153DRAFT_130597,-,-,Unknown,-,metallophosphoesteras-like protein,protein-coding,-,-,-,metallophosphoesteras-like protein,20210320,-
1392245,54402474,P153DRAFT_130608,P153DRAFT_130608,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402475,P153DRAFT_13091,P153DRAFT_13091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402476,P153DRAFT_131003,P153DRAFT_131003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402477,P153DRAFT_131388,P153DRAFT_131388,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402478,P153DRAFT_131490,P153DRAFT_131490,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402479,P153DRAFT_131501,P153DRAFT_131501,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402480,P153DRAFT_13161,P153DRAFT_13161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402481,P153DRAFT_131733,P153DRAFT_131733,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402482,P153DRAFT_13180,P153DRAFT_13180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402483,P153DRAFT_131870,P153DRAFT_131870,-,-,Unknown,-,peptidase C14,protein-coding,-,-,-,peptidase C14,20210320,-
1392245,54402484,P153DRAFT_132328,P153DRAFT_132328,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402485,P153DRAFT_132661,P153DRAFT_132661,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402486,P153DRAFT_132756,P153DRAFT_132756,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402487,P153DRAFT_132981,P153DRAFT_132981,-,-,Unknown,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20210320,-
1392245,54402488,P153DRAFT_133226,P153DRAFT_133226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402489,P153DRAFT_133400,P153DRAFT_133400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402490,P153DRAFT_133532,P153DRAFT_133532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402491,P153DRAFT_133704,P153DRAFT_133704,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402492,P153DRAFT_133724,P153DRAFT_133724,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402493,P153DRAFT_13423,P153DRAFT_13423,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402494,P153DRAFT_134232,P153DRAFT_134232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402495,P153DRAFT_13454,P153DRAFT_13454,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402496,P153DRAFT_134814,P153DRAFT_134814,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402497,P153DRAFT_134907,P153DRAFT_134907,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402498,P153DRAFT_134975,P153DRAFT_134975,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210320,-
1392245,54402499,P153DRAFT_135078,P153DRAFT_135078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402500,P153DRAFT_135237,P153DRAFT_135237,-,-,Unknown,-,ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,ubiquitin carboxyl-terminal hydrolase,20210320,-
1392245,54402501,P153DRAFT_135268,P153DRAFT_135268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402502,P153DRAFT_13532,P153DRAFT_13532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402503,P153DRAFT_135644,P153DRAFT_135644,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402504,P153DRAFT_135756,P153DRAFT_135756,-,-,Unknown,-,acyltransferas-like protein,protein-coding,-,-,-,acyltransferas-like protein,20210320,-
1392245,54402505,P153DRAFT_135887,P153DRAFT_135887,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402506,P153DRAFT_136055,P153DRAFT_136055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402507,P153DRAFT_136379,P153DRAFT_136379,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54402508,P153DRAFT_136602,P153DRAFT_136602,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402509,P153DRAFT_136607,P153DRAFT_136607,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402510,P153DRAFT_136680,P153DRAFT_136680,-,-,Unknown,-,tubulin binding cofactor A,protein-coding,-,-,-,tubulin binding cofactor A,20210320,-
1392245,54402511,P153DRAFT_136794,P153DRAFT_136794,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402512,P153DRAFT_136930,P153DRAFT_136930,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402513,P153DRAFT_136976,P153DRAFT_136976,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402514,P153DRAFT_136989,P153DRAFT_136989,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402515,P153DRAFT_137015,P153DRAFT_137015,-,-,Unknown,-,apses-domain-containing protein,protein-coding,-,-,-,apses-domain-containing protein,20210320,-
1392245,54402516,P153DRAFT_13709,P153DRAFT_13709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402517,P153DRAFT_137298,P153DRAFT_137298,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54402518,P153DRAFT_137530,P153DRAFT_137530,-,-,Unknown,-,putative short-chain dehydrogenase/reductase,protein-coding,-,-,-,putative short-chain dehydrogenase/reductase,20210320,-
1392245,54402519,P153DRAFT_137564,P153DRAFT_137564,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402520,P153DRAFT_137688,P153DRAFT_137688,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402521,P153DRAFT_137767,P153DRAFT_137767,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402522,P153DRAFT_137775,P153DRAFT_137775,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402523,P153DRAFT_138471,P153DRAFT_138471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402524,P153DRAFT_138686,P153DRAFT_138686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402525,P153DRAFT_138795,P153DRAFT_138795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402526,P153DRAFT_139,P153DRAFT_139,-,-,Unknown,-,alternative oxidase-like protein,protein-coding,-,-,-,alternative oxidase-like protein,20210320,-
1392245,54402527,P153DRAFT_139406,P153DRAFT_139406,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402528,P153DRAFT_139500,P153DRAFT_139500,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402529,P153DRAFT_13982,P153DRAFT_13982,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402530,P153DRAFT_140067,P153DRAFT_140067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402531,P153DRAFT_140156,P153DRAFT_140156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402532,P153DRAFT_140187,P153DRAFT_140187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402533,P153DRAFT_140394,P153DRAFT_140394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402534,P153DRAFT_140433,P153DRAFT_140433,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402535,P153DRAFT_140550,P153DRAFT_140550,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402536,P153DRAFT_140625,P153DRAFT_140625,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402537,P153DRAFT_140835,P153DRAFT_140835,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402538,P153DRAFT_140922,P153DRAFT_140922,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402539,P153DRAFT_141001,P153DRAFT_141001,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402540,P153DRAFT_141031,P153DRAFT_141031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402541,P153DRAFT_141415,P153DRAFT_141415,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402542,P153DRAFT_141451,P153DRAFT_141451,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402543,P153DRAFT_141831,P153DRAFT_141831,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402544,P153DRAFT_142003,P153DRAFT_142003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402545,P153DRAFT_142041,P153DRAFT_142041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402546,P153DRAFT_142057,P153DRAFT_142057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402547,P153DRAFT_142113,P153DRAFT_142113,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402548,P153DRAFT_142390,P153DRAFT_142390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402549,P153DRAFT_142397,P153DRAFT_142397,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402550,P153DRAFT_142424,P153DRAFT_142424,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402551,P153DRAFT_142844,P153DRAFT_142844,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402552,P153DRAFT_142900,P153DRAFT_142900,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402553,P153DRAFT_143029,P153DRAFT_143029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402554,P153DRAFT_143262,P153DRAFT_143262,-,-,Unknown,-,ATP-binding cassette-type vacuolar membrane transporter-like protein Hmt1,protein-coding,-,-,-,ATP-binding cassette-type vacuolar membrane transporter-like protein Hmt1,20210320,-
1392245,54402555,P153DRAFT_143357,P153DRAFT_143357,-,-,Unknown,-,copper radical oxidase,protein-coding,-,-,-,copper radical oxidase,20210320,-
1392245,54402556,P153DRAFT_143641,P153DRAFT_143641,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402557,P153DRAFT_143744,P153DRAFT_143744,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20210320,-
1392245,54402558,P153DRAFT_143805,P153DRAFT_143805,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402559,P153DRAFT_143820,P153DRAFT_143820,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402560,P153DRAFT_144341,P153DRAFT_144341,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402561,P153DRAFT_144384,P153DRAFT_144384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402562,P153DRAFT_144936,P153DRAFT_144936,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402563,P153DRAFT_144941,P153DRAFT_144941,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402564,P153DRAFT_14502,P153DRAFT_14502,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402565,P153DRAFT_145030,P153DRAFT_145030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402566,P153DRAFT_145199,P153DRAFT_145199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402567,P153DRAFT_145237,P153DRAFT_145237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402568,P153DRAFT_145361,P153DRAFT_145361,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402569,P153DRAFT_145362,P153DRAFT_145362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402570,P153DRAFT_145433,P153DRAFT_145433,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402571,P153DRAFT_145434,P153DRAFT_145434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402572,P153DRAFT_145521,P153DRAFT_145521,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402573,P153DRAFT_145545,P153DRAFT_145545,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402574,P153DRAFT_145694,P153DRAFT_145694,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402575,P153DRAFT_145741,P153DRAFT_145741,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402576,P153DRAFT_145773,P153DRAFT_145773,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402577,P153DRAFT_145876,P153DRAFT_145876,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402578,P153DRAFT_145888,P153DRAFT_145888,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402579,P153DRAFT_145916,P153DRAFT_145916,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402580,P153DRAFT_146008,P153DRAFT_146008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402581,P153DRAFT_146045,P153DRAFT_146045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402582,P153DRAFT_146754,P153DRAFT_146754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402583,P153DRAFT_146803,P153DRAFT_146803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402584,P153DRAFT_146816,P153DRAFT_146816,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402585,P153DRAFT_146819,P153DRAFT_146819,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402586,P153DRAFT_146898,P153DRAFT_146898,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402587,P153DRAFT_146907,P153DRAFT_146907,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402588,P153DRAFT_146953,P153DRAFT_146953,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402589,P153DRAFT_147030,P153DRAFT_147030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402590,P153DRAFT_147031,P153DRAFT_147031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
