#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9925385,L732,MIMI_gp0790,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925386,R731,MIMI_gp0791,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9925387,L737b,MIMI_gs0027,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925388,L733,MIMI_gp0792,-,-,-,-,uncharacterized ABC transporter ATP-binding protein/permease,protein-coding,-,-,-,uncharacterized ABC transporter ATP-binding protein/permease,20201220,-
212035,9925389,L737c,MIMI_gs0028,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925390,R734,MIMI_gp0793,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925391,R735,MIMI_gp0794,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925392,R736,MIMI_gp0795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925393,L737,MIMI_gp0796,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925394,R738,MIMI_gp0797,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925395,R739,MIMI_gp0798,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9925396,R740,MIMI_gp0799,-,-,-,-,putative mitochondrial protein,protein-coding,-,-,-,putative mitochondrial protein,20201220,-
212035,9925397,R741,MIMI_gp0800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925398,R741b,MIMI_gp0801,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925399,L742,MIMI_gp0802,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925400,L743,MIMI_gp0803,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925401,R744/R745,MIMI_gp0804,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925402,R750b,MIMI_gs0029,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925403,R746,MIMI_gp0805,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925404,R747,MIMI_gp0806,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925405,R748,MIMI_gp0807,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925406,R749,MIMI_gp0808,-,-,-,-,putative homeobox protein,protein-coding,-,-,-,putative homeobox protein,20201220,-
212035,9925407,L750,MIMI_gp0809,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925408,R751,MIMI_gp0810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925409,R752,MIMI_gp0811,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925410,R753,MIMI_gp0812,-,-,-,-,putative F-box/LRR-repeat protein,protein-coding,-,-,-,putative F-box/LRR-repeat protein,20201220,-
212035,9925411,R753b,MIMI_gp0813,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925412,L754,MIMI_gp0814,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925413,L755,MIMI_gp0815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925414,R756,MIMI_gp0816,-,-,-,-,putative radical SAM enzyme,protein-coding,-,-,-,putative radical SAM enzyme,20201220,-
212035,9925415,R757,MIMI_gp0817,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9925416,R758,MIMI_gp0818,-,-,-,-,putative 5'(3')-deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3')-deoxyribonucleotidase,20201220,-
212035,9925417,L759,MIMI_gp0819,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925418,R760,MIMI_gp0820,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925419,L761,MIMI_gp0821,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925420,R762,MIMI_gp0822,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925421,L763,MIMI_gp0823,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925422,L764,MIMI_gp0824,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925423,R765,MIMI_gp0825,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925424,L766,MIMI_gp0826,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925425,L767,MIMI_gp0827,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925426,L768,MIMI_gp0828,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925427,L769,MIMI_gp0829,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925428,L769b,MIMI_gp0830,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925429,L770,MIMI_gp0831,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20201220,-
212035,9925430,R771,MIMI_gp0832,-,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20201220,-
212035,9925431,L772,MIMI_gp0833,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925432,R773,MIMI_gp0834,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925433,L774,MIMI_gp0835,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925434,L775,MIMI_gp0836,-,-,-,-,putative PAN domain-containing protein,protein-coding,-,-,-,putative PAN domain-containing protein,20201220,-
212035,9925435,R776,MIMI_gp0837,-,-,-,-,putative AAA-type ATPase,protein-coding,-,-,-,putative AAA-type ATPase,20201220,-
212035,9925436,R776b,MIMI_gp0838,-,-,-,-,putative chaperon protein DnaJ,protein-coding,-,-,-,putative chaperon protein DnaJ,20201220,-
212035,9925437,R777,MIMI_gp0839,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925438,L778,MIMI_gp0840,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925439,R783b,MIMI_gs0030,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925440,L779,MIMI_gp0841,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925441,L780,MIMI_gp0842,-,-,-,-,uncharacterized dTDP-4-dehydrorhamnose reductase domain protein,protein-coding,-,-,-,uncharacterized dTDP-4-dehydrorhamnose reductase domain protein,20201220,-
212035,9925442,L781,MIMI_gp0843,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925443,L782,MIMI_gp0844,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925444,L783,MIMI_gp0845,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9925445,R784,MIMI_gp0846,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925446,R785,MIMI_gp0847,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925447,L786,MIMI_gp0848,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9925448,R787,MIMI_gp0849,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925449,L788,MIMI_gp0850,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925450,R789,MIMI_gp0851,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925451,R790,MIMI_gp0852,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925452,R791,MIMI_gp0853,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925453,L792,MIMI_gp0854,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925454,R793,MIMI_gp0855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925455,L794b,MIMI_gp0856,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925456,L794,MIMI_gp0857,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925457,R795,MIMI_gp0858,-,-,-,-,putative bifunctional E2/E3 enzyme,protein-coding,-,-,-,putative bifunctional E2/E3 enzyme,20201220,-
212035,9925458,L796,MIMI_gp0859,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925459,R797,MIMI_gp0860,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925460,L798,MIMI_gp0861,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925461,R799,MIMI_gp0862,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925462,R800,MIMI_gp0863,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925463,L801,MIMI_gp0864,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925464,R802,MIMI_gp0865,-,-,-,-,putative purine phosphorylase,protein-coding,-,-,-,putative purine phosphorylase,20201220,-
212035,9925465,L803,MIMI_gp0866,-,-,-,-,"putative metal-dependent phosphohydrolase, HD domain",protein-coding,-,-,-,"putative metal-dependent phosphohydrolase, HD domain",20201220,-
212035,9925466,R804,MIMI_gp0867,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925467,L805,MIMI_gp0868,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925468,L806,MIMI_gp0869,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925469,R807,MIMI_gp0870,-,-,-,-,probable 7-dehydrocholesterol reductase,protein-coding,-,-,-,probable 7-dehydrocholesterol reductase,20201220,-
212035,9925470,L808,MIMI_gp0871,-,-,-,-,probable lanosterol 14-alpha demethylase,protein-coding,-,-,-,probable lanosterol 14-alpha demethylase,20201220,-
212035,9925471,L814b,MIMI_gs0031,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925472,R809,MIMI_gp0872,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925473,R810,MIMI_gp0873,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925474,R811,MIMI_gp0874,-,-,-,-,putative ariadne-like ring finger protein,protein-coding,-,-,-,putative ariadne-like ring finger protein,20201220,-
212035,9925475,L812,MIMI_gp0875,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925476,L813,MIMI_gp0876,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925477,R814,MIMI_gp0877,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925478,R815,MIMI_gp0878,-,-,-,-,putative sel1-like repeat-containing protein,protein-coding,-,-,-,putative sel1-like repeat-containing protein,20201220,-
212035,9925479,R816,MIMI_gp0879,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925480,L817,MIMI_gp0880,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925481,R818,MIMI_gp0881,-,-,-,-,putative serine/threonine-protein kinase/receptor,protein-coding,-,-,-,putative serine/threonine-protein kinase/receptor,20201220,-
212035,9925482,R819,MIMI_gp0882,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925483,R820,MIMI_gp0883,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925484,R821,MIMI_gp0884,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925485,R822,MIMI_gp0885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925486,L823,MIMI_gp0886,-,-,-,-,putative proliferating cell nuclear antigen,protein-coding,-,-,-,putative proliferating cell nuclear antigen,20201220,-
212035,9925487,R824,MIMI_gp0887,-,-,-,-,putative 5'(3')-deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3')-deoxyribonucleotidase,20201220,-
212035,9925488,R825,MIMI_gp0888,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925489,R826,MIMI_gp0889,-,-,-,-,putative serine/threonine-protein kinase/receptor,protein-coding,-,-,-,putative serine/threonine-protein kinase/receptor,20201220,-
212035,9925490,R827,MIMI_gp0890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925491,R828,MIMI_gp0891,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925492,L828b,MIMI_gp0892,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925493,L829,MIMI_gp0893,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925494,R830,MIMI_gp0894,-,-,-,-,putativeBTB/POZ domain-containing protein,protein-coding,-,-,-,putativeBTB/POZ domain-containing protein,20201220,-
212035,9925495,R831,MIMI_gp0895,-,-,-,-,putative serine/threonine-protein kinase/receptor,protein-coding,-,-,-,putative serine/threonine-protein kinase/receptor,20201220,-
212035,9925496,R832/R833,MIMI_gp0896,-,-,-,-,glucose-methanol-choline oxidoreductase,protein-coding,-,-,-,glucose-methanol-choline oxidoreductase,20201220,-
212035,9925497,L834,MIMI_gp0897,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925498,R835,MIMI_gp0898,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925499,R836,MIMI_gp0899,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925500,R837,MIMI_gp0900,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925501,R838,MIMI_gp0901,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925502,R839,MIMI_gp0902,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925503,R840,MIMI_gp0903,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925504,R841,MIMI_gp0904,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925505,R842,MIMI_gp0905,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925506,R842b,MIMI_gp0906,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925507,R843,MIMI_gp0907,-,-,-,-,uncharacterized hydrolase,protein-coding,-,-,-,uncharacterized hydrolase,20201220,-
212035,9925508,R844/R845,MIMI_gp0908,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925509,R846,MIMI_gp0909,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925510,R848,MIMI_gp0910,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925511,R849,MIMI_gp0911,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925512,R850,MIMI_gp0912,-,-,-,-,putative sel1-like repeat-containing protein,protein-coding,-,-,-,putative sel1-like repeat-containing protein,20201220,-
212035,9925513,L851,MIMI_gp0913,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925514,R852/R853,MIMI_gp0914,-,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,protein-coding,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,20201220,-
212035,9925515,R854,MIMI_gp0915,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20201220,-
212035,9925516,R855,MIMI_gp0916,-,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,protein-coding,-,-,-,putative deoxyribodipyrimidine photolyase-related protein,20201220,-
212035,9925517,R856,MIMI_gp0917,-,-,-,-,putative TPR repeat-containing protein,protein-coding,-,-,-,putative TPR repeat-containing protein,20201220,-
212035,9925518,R857,MIMI_gp0918,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925519,R858,MIMI_gp0919,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925520,L859,MIMI_gp0920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925521,R860,MIMI_gp0921,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925522,R861,MIMI_gp0922,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925523,L862,MIMI_gp0923,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925524,tRNA-Trp,MIMI_gt0004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9925525,L863,MIMI_gp0924,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925526,L864,MIMI_gp0925,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925527,R864b,MIMI_gp0926,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925528,R865,MIMI_gp0927,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925529,R866,MIMI_gp0928,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925530,R867,MIMI_gp0929,-,-,-,-,putative DNA-directed RNA polymerase subunit 1 inactive-like protein,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit 1 inactive-like protein,20201220,-
212035,9925531,L867b,MIMI_gp0930,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925532,R868,MIMI_gp0931,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925533,R869,MIMI_gp0932,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925534,L870,MIMI_gp0933,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925535,tRNA-Leu-2,MIMI_gt0005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9925536,R870b,MIMI_gp0934,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925537,R871,MIMI_gp0935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925538,L871b,MIMI_gp0936,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925539,L872,MIMI_gp0937,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925540,R873,MIMI_gp0938,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925541,R874,MIMI_gp0939,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925542,R875,MIMI_gp0940,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925543,L876,MIMI_gp0941,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925544,R877,MIMI_gp0942,-,-,-,-,putative lipocalin,protein-coding,-,-,-,putative lipocalin,20201220,-
212035,9925545,R878,MIMI_gp0943,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20201220,-
212035,9925546,R884b,MIMI_gs0032,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925547,R878b,MIMI_gp0944,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925548,R879,MIMI_gp0945,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20201220,-
212035,9925549,R880,MIMI_gp0946,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925550,L881,MIMI_gp0947,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925551,R882,MIMI_gp0948,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925552,R883,MIMI_gp0949,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925553,L884,MIMI_gp0950,-,-,-,-,putative CDC123-like protein,protein-coding,-,-,-,putative CDC123-like protein,20201220,-
212035,9925554,L885,MIMI_gp0951,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925555,L887,MIMI_gp0952,-,-,-,-,putative JmjC domain-containing protein,protein-coding,-,-,-,putative JmjC domain-containing protein,20201220,-
212035,9925556,L888,MIMI_gp0953,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925557,R889,MIMI_gp0954,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925558,R890,MIMI_gp0955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925559,L891,MIMI_gp0956,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925560,R892,MIMI_gp0957,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925561,R900b,MIMI_gs0033,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925562,L894/L893,MIMI_gp0958,-,-,-,-,putative glucose-methanol-choline oxidoreductase protein,protein-coding,-,-,-,putative glucose-methanol-choline oxidoreductase protein,20201220,-
212035,9925563,tRNA-Leu-3,MIMI_gt0006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9925564,R895,MIMI_gp0959,-,-,-,-,putative endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,putative endonuclease/exonuclease/phosphatase,20201220,-
212035,9925565,R896,MIMI_gp0960,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925566,L897,MIMI_gp0961,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925567,R898,MIMI_gp0962,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925568,L899,MIMI_gp0963,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925569,R900,MIMI_gp0964,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925570,R901,MIMI_gp0965,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925571,R902,MIMI_gp0966,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925572,R903,MIMI_gp0967,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925573,R904,MIMI_gp0968,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20201220,-
212035,9925574,L905,MIMI_gp0969,-,-,-,-,putative Fe2OG oxygenase family oxidoreductase,protein-coding,-,-,-,putative Fe2OG oxygenase family oxidoreductase,20201220,-
212035,9925575,L906,MIMI_gp0970,-,-,-,-,probable cholinesterase,protein-coding,-,-,-,probable cholinesterase,20201220,-
212035,9925576,R907,MIMI_gp0971,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925577,L908,MIMI_gp0972,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925578,R1,MIMI_gp0001,-,-,-,-,putative replication origin-binding protein,protein-coding,-,-,-,putative replication origin-binding protein,20201220,-
212035,10021807,R908b,MIMI_gp0973,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,10021808,L909,MIMI_gp0974,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,10021809,L910,MIMI_gp0975,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,10021810,R910b,MIMI_gp0976,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,10021811,R911,MIMI_gp0977,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,10021812,L911b,MIMI_gp0978,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,10021813,L911c,MIMI_gp0979,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
