#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23797608,HTIA_RS14440,HTIA_RS14440,HTIA_p2903,-,-,-,exo-alpha-sialidase,protein-coding,-,-,-,exo-alpha-sialidase,20201105,-
1033806,23797609,HTIA_RS14435,HTIA_RS14435,HTIA_p2902,-,-,-,glycoside hydrolase family 127 protein,protein-coding,-,-,-,glycoside hydrolase family 127 protein,20201105,-
1033806,23797610,HTIA_RS14430,HTIA_RS14430,HTIA_p2900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797611,HTIA_RS14425,HTIA_RS14425,HTIA_p2899,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201105,-
1033806,23797612,HTIA_RS14420,HTIA_RS14420,HTIA_p2898,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201105,-
1033806,23797613,HTIA_RS14415,HTIA_RS14415,-,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201105,-
1033806,23797614,HTIA_RS14410,HTIA_RS14410,-,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201105,-
1033806,23797615,HTIA_RS14405,HTIA_RS14405,HTIA_p2897,-,-,-,beta-galactosidase,protein-coding,-,-,-,beta-galactosidase,20210202,-
1033806,23797616,HTIA_RS14400,HTIA_RS14400,HTIA_p2896,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23797617,HTIA_RS14395,HTIA_RS14395,HTIA_p2895,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20201105,-
1033806,23797618,HTIA_RS14390,HTIA_RS14390,HTIA_p2894,-,-,-,glycoside hydrolase family 88 protein,protein-coding,-,-,-,glycoside hydrolase family 88 protein,20201105,-
1033806,23797619,HTIA_RS14385,HTIA_RS14385,HTIA_p2893,-,-,-,DUF2264 domain-containing protein,protein-coding,-,-,-,DUF2264 domain-containing protein,20210312,-
1033806,23797620,HTIA_RS14380,HTIA_RS14380,HTIA_p2892,-,-,-,FGGY-family carbohydrate kinase,protein-coding,-,-,-,FGGY-family carbohydrate kinase,20210312,-
1033806,23797621,HTIA_RS14375,HTIA_RS14375,HTIA_p2891,-,-,-,class II aldolase/adducin family protein,protein-coding,-,-,-,class II aldolase/adducin family protein,20210202,-
1033806,23797622,HTIA_RS14370,HTIA_RS14370,HTIA_p2890,-,-,-,transposase,protein-coding,-,-,-,transposase,20201105,-
1033806,23797623,HTIA_RS14365,HTIA_RS14365,-,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201105,-
1033806,23797624,HTIA_RS14360,HTIA_RS14360,HTIA_p2888,-,-,-,IS110 family transposase,protein-coding,-,-,-,IS110 family transposase,20201105,-
1033806,23797625,HTIA_RS14355,HTIA_RS14355,HTIA_p2887,-,-,-,DUF3006 domain-containing protein,protein-coding,-,-,-,DUF3006 domain-containing protein,20210312,-
1033806,23797626,HTIA_RS14350,HTIA_RS14350,HTIA_p2886,-,-,-,lamin tail domain-containing protein,protein-coding,-,-,-,lamin tail domain-containing protein,20201105,-
1033806,23797628,HTIA_RS14340,HTIA_RS14340,HTIA_p2884,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
1033806,23797629,HTIA_RS14335,HTIA_RS14335,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797630,HTIA_RS14330,HTIA_RS14330,HTIA_p2883,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210312,-
1033806,23797631,HTIA_RS14325,HTIA_RS14325,HTIA_p2882,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210103,-
1033806,23797632,HTIA_RS14320,HTIA_RS14320,HTIA_p2881,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797633,HTIA_RS14315,HTIA_RS14315,HTIA_p2880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797634,HTIA_RS14310,HTIA_RS14310,HTIA_p2879,-,-,-,UPF0175 family protein,protein-coding,-,-,-,UPF0175 family protein,20210103,-
1033806,23797635,HTIA_RS14305,HTIA_RS14305,HTIA_p2878,-,-,-,twitching motility protein PilT,protein-coding,-,-,-,twitching motility protein PilT,20210312,-
1033806,23797636,HTIA_RS14300,HTIA_RS14300,HTIA_p2877,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210103,-
1033806,23797637,HTIA_RS14295,HTIA_RS14295,HTIA_p2876,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797638,HTIA_RS14290,HTIA_RS14290,HTIA_p2875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797639,HTIA_RS14285,HTIA_RS14285,HTIA_p2874,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797640,HTIA_RS14280,HTIA_RS14280,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797641,HTIA_RS14275,HTIA_RS14275,HTIA_p2872,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797642,HTIA_RS14270,HTIA_RS14270,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797643,HTIA_RS14265,HTIA_RS14265,HTIA_p2869,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201105,-
1033806,23797644,HTIA_RS14260,HTIA_RS14260,HTIA_p2868,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797645,HTIA_RS14255,HTIA_RS14255,HTIA_p2866,-,-,-,IS701-like element ISHti12 family transposase,protein-coding,-,-,-,IS701-like element ISHti12 family transposase,20201105,-
1033806,23797646,HTIA_RS14250,HTIA_RS14250,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201105,-
1033806,23797647,HTIA_RS14245,HTIA_RS14245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797648,HTIA_RS14240,HTIA_RS14240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797649,HTIA_RS14235,HTIA_RS14235,HTIA_p2863,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201105,-
1033806,23797650,HTIA_RS14230,HTIA_RS14230,-,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201105,-
1033806,23797651,HTIA_RS14225,HTIA_RS14225,-,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201105,-
1033806,23797652,HTIA_RS14220,HTIA_RS14220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797653,HTIA_RS14215,HTIA_RS14215,HTIA_p2860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797655,HTIA_RS14205,HTIA_RS14205,HTIA_p2858,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797656,HTIA_RS14200,HTIA_RS14200,HTIA_p2857,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797657,HTIA_RS14195,HTIA_RS14195,HTIA_p2856,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797658,HTIA_RS14190,HTIA_RS14190,HTIA_p2855,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23797659,HTIA_RS14185,HTIA_RS14185,HTIA_p2854,-,-,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20201105,-
1033806,23797660,HTIA_RS14180,HTIA_RS14180,HTIA_p2853,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201105,-
1033806,23797661,HTIA_RS14175,HTIA_RS14175,HTIA_p2852,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797662,HTIA_RS14170,HTIA_RS14170,HTIA_p2851,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210312,-
1033806,23797664,HTIA_RS14160,HTIA_RS14160,HTIA_p2849,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797665,HTIA_RS14155,HTIA_RS14155,HTIA_p2848,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210312,-
1033806,23797666,HTIA_RS14150,HTIA_RS14150,HTIA_p2847,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201105,-
1033806,23797668,HTIA_RS14140,HTIA_RS14140,HTIA_p2844,-,-,-,IS66 family transposase,protein-coding,-,-,-,IS66 family transposase,20210417,-
1033806,23797669,HTIA_RS14135,HTIA_RS14135,-,-,-,-,IS5 family transposase,protein-coding,-,-,-,IS5 family transposase,20201105,-
1033806,23797670,HTIA_RS14130,HTIA_RS14130,HTIA_p2842,-,-,-,carboxymuconolactone decarboxylase family protein,protein-coding,-,-,-,carboxymuconolactone decarboxylase family protein,20201105,-
1033806,23797671,HTIA_RS14125,HTIA_RS14125,HTIA_p2841,-,-,-,MOSC N-terminal beta barrel domain-containing protein,protein-coding,-,-,-,MOSC N-terminal beta barrel domain-containing protein,20201105,-
1033806,23797672,HTIA_RS14120,HTIA_RS14120,HTIA_p2840,-,-,-,DUF2249 domain-containing protein,protein-coding,-,-,-,DUF2249 domain-containing protein,20201105,-
1033806,23797673,HTIA_RS14115,HTIA_RS14115,HTIA_p2839,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797674,HTIA_RS14110,HTIA_RS14110,HTIA_p2838,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797675,HTIA_RS14105,HTIA_RS14105,HTIA_p2836,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201105,-
1033806,23797676,HTIA_RS14100,HTIA_RS14100,HTIA_p2834,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20201105,-
1033806,23797677,HTIA_RS14095,HTIA_RS14095,HTIA_p2833,-,-,-,IS66 family transposase,protein-coding,-,-,-,IS66 family transposase,20210417,-
1033806,23797678,HTIA_RS14090,HTIA_RS14090,HTIA_p2832,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210202,-
1033806,23797681,HTIA_RS14075,HTIA_RS14075,HTIA_p2831,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201222,-
1033806,23797682,HTIA_RS14070,HTIA_RS14070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797683,HTIA_RS14065,HTIA_RS14065,HTIA_p2830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797684,HTIA_RS14060,HTIA_RS14060,HTIA_p2829,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797685,HTIA_RS14055,HTIA_RS14055,HTIA_p2828,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797686,HTIA_RS14050,HTIA_RS14050,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797687,HTIA_RS14045,HTIA_RS14045,HTIA_p2826,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23797688,HTIA_RS14040,HTIA_RS14040,HTIA_p2825,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201105,-
1033806,23797689,HTIA_RS14035,HTIA_RS14035,HTIA_p2824,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23797690,HTIA_RS14030,HTIA_RS14030,HTIA_p2823,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23797691,HTIA_RS14025,HTIA_RS14025,HTIA_p2822,-,-,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23797692,HTIA_RS14020,HTIA_RS14020,HTIA_p2821,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797693,HTIA_RS14015,HTIA_RS14015,HTIA_p2820,-,-,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23797694,HTIA_RS14010,HTIA_RS14010,HTIA_p2819,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797695,HTIA_RS14005,HTIA_RS14005,HTIA_p2818,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797696,HTIA_RS14000,HTIA_RS14000,HTIA_p2817,-,-,-,lamin tail domain-containing protein,protein-coding,-,-,-,lamin tail domain-containing protein,20201105,-
1033806,23797697,HTIA_RS13995,HTIA_RS13995,HTIA_p2816,-,-,-,DUF3006 domain-containing protein,protein-coding,-,-,-,DUF3006 domain-containing protein,20210312,-
1033806,23797698,HTIA_RS13990,HTIA_RS13990,HTIA_p2815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797699,HTIA_RS13985,HTIA_RS13985,HTIA_p2814,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210103,-
1033806,23797700,HTIA_RS13980,HTIA_RS13980,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797701,HTIA_RS13975,HTIA_RS13975,HTIA_p2812,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797703,HTIA_RS13965,HTIA_RS13965,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797705,HTIA_RS13955,HTIA_RS13955,HTIA_p2808,-,-,-,IS630-like element ISHti6 family transposase,protein-coding,-,-,-,IS630-like element ISHti6 family transposase,20201105,-
1033806,23797706,HTIA_RS13950,HTIA_RS13950,HTIA_p2807,-,-,-,transposase,protein-coding,-,-,-,transposase,20201105,-
1033806,23797707,HTIA_RS13945,HTIA_RS13945,HTIA_p2806,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20210312,-
1033806,23797708,HTIA_RS13940,HTIA_RS13940,HTIA_p2805,-,-,-,ADP-ribosylglycohydrolase family protein,protein-coding,-,-,-,ADP-ribosylglycohydrolase family protein,20201105,-
1033806,23797712,HTIA_RS13920,HTIA_RS13920,HTIA_p2803,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20201105,-
1033806,23797713,HTIA_RS13915,HTIA_RS13915,HTIA_p2802,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201105,-
1033806,23797714,HTIA_RS13910,HTIA_RS13910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797715,HTIA_RS13905,HTIA_RS13905,HTIA_p2801,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20201105,-
1033806,23797721,HTIA_RS13875,HTIA_RS13875,HTIA_p2799,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210129,-
1033806,23797722,HTIA_RS13870,HTIA_RS13870,HTIA_p2798,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797723,HTIA_RS13865,HTIA_RS13865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797724,HTIA_RS13860,HTIA_RS13860,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797725,HTIA_RS13855,HTIA_RS13855,HTIA_p2796,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797726,HTIA_RS04680,HTIA_RS04680,HTIA_0942,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797727,HTIA_RS04675,HTIA_RS04675,HTIA_0941,-,I,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210417,-
1033806,23797728,HTIA_RS04670,HTIA_RS04670,HTIA_0940,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797729,tnpA,HTIA_RS04665,HTIA_0939,-,I,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20210312,-
1033806,23797730,HTIA_RS04660,HTIA_RS04660,HTIA_0938,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23797731,HTIA_RS04655,HTIA_RS04655,HTIA_0937,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797732,HTIA_RS04650,HTIA_RS04650,HTIA_0935,-,I,-,ORC1-type DNA replication protein,protein-coding,-,-,-,ORC1-type DNA replication protein,20210312,-
1033806,23797733,HTIA_RS04645,HTIA_RS04645,HTIA_0934,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797734,HTIA_RS04640,HTIA_RS04640,HTIA_0933,-,I,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210312,-
1033806,23797735,HTIA_RS04635,HTIA_RS04635,HTIA_0932,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797736,HTIA_RS04630,HTIA_RS04630,HTIA_0931,-,I,-,glycoside hydrolase family 32 protein,protein-coding,-,-,-,glycoside hydrolase family 32 protein,20210312,-
1033806,23797737,HTIA_RS04625,HTIA_RS04625,HTIA_0930,-,I,-,DUF5110 domain-containing protein,protein-coding,-,-,-,DUF5110 domain-containing protein,20210312,-
1033806,23797738,HTIA_RS04620,HTIA_RS04620,HTIA_0929,-,I,-,TrmB family transcriptional regulator,protein-coding,-,-,-,TrmB family transcriptional regulator,20210312,-
1033806,23797739,HTIA_RS04615,HTIA_RS04615,HTIA_0928,-,I,-,alpha-glucosidase,protein-coding,-,-,-,alpha-glucosidase,20210312,-
1033806,23797740,HTIA_RS04610,HTIA_RS04610,HTIA_0927,-,I,-,alpha-glucosidase,protein-coding,-,-,-,alpha-glucosidase,20210312,-
1033806,23797741,HTIA_RS04605,HTIA_RS04605,HTIA_0926,-,I,-,alpha-amylase,protein-coding,-,-,-,alpha-amylase,20210312,-
1033806,23797742,HTIA_RS04600,HTIA_RS04600,HTIA_0925,-,I,-,alpha-glucosidase C-terminal domain-containing protein,protein-coding,-,-,-,alpha-glucosidase C-terminal domain-containing protein,20210312,-
1033806,23797744,HTIA_RS04590,HTIA_RS04590,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797747,HTIA_RS04575,HTIA_RS04575,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797748,HTIA_RS04570,HTIA_RS04570,HTIA_0920,-,I,-,alpha-amylase,protein-coding,-,-,-,alpha-amylase,20210312,-
1033806,23797749,HTIA_RS04565,HTIA_RS04565,HTIA_0919,-,I,-,alpha-glucosidase C-terminal domain-containing protein,protein-coding,-,-,-,alpha-glucosidase C-terminal domain-containing protein,20210312,-
1033806,23797750,HTIA_RS04560,HTIA_RS04560,HTIA_0918,-,I,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23797751,HTIA_RS04555,HTIA_RS04555,HTIA_0917,-,I,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210312,-
1033806,23797752,malQ,HTIA_RS04550,HTIA_0916,-,I,-,4-alpha-glucanotransferase,protein-coding,-,-,-,4-alpha-glucanotransferase,20210312,-
1033806,23797753,glgP,HTIA_RS04545,HTIA_0915,-,I,-,alpha-glucan family phosphorylase,protein-coding,-,-,-,alpha-glucan family phosphorylase,20210312,-
1033806,23797754,HTIA_RS04540,HTIA_RS04540,HTIA_0914,-,I,-,carbohydrate kinase,protein-coding,-,-,-,carbohydrate kinase,20210312,-
1033806,23797755,HTIA_RS04535,HTIA_RS04535,HTIA_0913,-,I,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210312,-
1033806,23797756,HTIA_RS04530,HTIA_RS04530,HTIA_0912,-,I,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20210312,-
1033806,23797757,HTIA_RS04525,HTIA_RS04525,HTIA_0911,-,I,-,carbohydrate ABC transporter permease,protein-coding,-,-,-,carbohydrate ABC transporter permease,20210312,-
1033806,23797758,HTIA_RS04520,HTIA_RS04520,HTIA_0910,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23797759,HTIA_RS04515,HTIA_RS04515,HTIA_0909,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797760,HTIA_RS04510,HTIA_RS04510,HTIA_0908,-,I,-,"sugar-specific transcriptional regulator, TrmB family",protein-coding,-,-,-,"sugar-specific transcriptional regulator, TrmB family",20210312,-
1033806,23797761,HTIA_RS04505,HTIA_RS04505,HTIA_0907,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797762,HTIA_RS04500,HTIA_RS04500,HTIA_0906,-,I,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210424,-
1033806,23797763,HTIA_RS04495,HTIA_RS04495,HTIA_0905,-,I,-,NDP-sugar synthase,protein-coding,-,-,-,NDP-sugar synthase,20210312,-
1033806,23797764,bglX,HTIA_RS04490,HTIA_0904,-,I,-,beta-glucosidase BglX,protein-coding,-,-,-,beta-glucosidase BglX,20210312,-
1033806,23797765,HTIA_RS04485,HTIA_RS04485,HTIA_0903,-,I,-,laminaribiose phosphorylase family GH94,protein-coding,-,-,-,laminaribiose phosphorylase family GH94,20210312,-
1033806,23797766,HTIA_RS04480,HTIA_RS04480,HTIA_0902,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797767,HTIA_RS04475,HTIA_RS04475,HTIA_0901,-,I,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210312,-
1033806,23797768,HTIA_RS04470,HTIA_RS04470,HTIA_0900,-,I,-,RDD family protein,protein-coding,-,-,-,RDD family protein,20210312,-
1033806,23797769,HTIA_RS04465,HTIA_RS04465,HTIA_0899,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797770,HTIA_RS04460,HTIA_RS04460,HTIA_0898,-,I,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20210312,-
1033806,23797771,HTIA_RS04455,HTIA_RS04455,HTIA_0897,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23797772,HTIA_RS04450,HTIA_RS04450,HTIA_0896,-,I,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210312,-
1033806,23797773,HTIA_RS04445,HTIA_RS04445,HTIA_0895,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23797774,HTIA_RS04440,HTIA_RS04440,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797775,HTIA_RS04435,HTIA_RS04435,-,-,I,-,IMP cyclohydrolase,protein-coding,-,-,-,IMP cyclohydrolase,20210312,-
